,track name,artists,album,release year,playlist name,track id,playlist id,popularity
52,Ballrooms Of Mars,Marc Bolan,Marc Bolan & T.Rex- The Radio Sessions Vol. 1 (Live),2014,❤️‍🔥🎧🫠🎧❤️‍🔥,4HH9EH7hGlLtTdnCCudXZg,0qv3HLAftJbN8Z8glhiCs7,0
53,Ballrooms Of Mars,Marc Bolan,Ballrooms Of Mars,2016,❤️‍🔥🎧🫠🎧❤️‍🔥,6DHFxlT5kgbOP8rrqJY86J,0qv3HLAftJbN8Z8glhiCs7,0
54,The Fragile,Nine Inch Nails,The Fragile,1999,Hmmm,0MKeZp4SppjBqwoprLxV5u,13km7JNQUh5DRGV9QexgpI,42
55,Combien de temps,"Christine and the Queens, Rahim Redcar",Redcar les adorables étoiles (prologue),2022,Hmmm,61efs5Och14QW9lspob2or,13km7JNQUh5DRGV9QexgpI,14
56,Self Control,Frank Ocean,Blonde,2016,Hmmm,5GUYJTQap5F3RDQiCOJhrS,13km7JNQUh5DRGV9QexgpI,74
57,Big eye,Christine and the Queens,"PARANOÏA, ANGELS, TRUE LOVE",2023,Hmmm,0fGbCVPP41cReDwIAuOORJ,13km7JNQUh5DRGV9QexgpI,20
58,Never Let Me Go,Depeche Mode,Memento Mori,2023,Hmmm,2RfrOEGUK6lakj8PIGvQh6,13km7JNQUh5DRGV9QexgpI,37
59,"Sex, Violence, Suicide",Amaarae,Fountain Baby,2023,Hmmm,4GDsIoGuRxBVR0zPbxodIO,13km7JNQUh5DRGV9QexgpI,33
60,CEMENT,"Spresso, Alpha Maid, Mica Levi",FAST SET CEMENT,2024,Hmmm,5bwkjMHiM4UztEg1uE8ANC,13km7JNQUh5DRGV9QexgpI,18
61,Blue Suzuki,Lust For Youth,Blue Suzuki,2023,Hmmm,7LWnThkBWw6n0wbNUtF8zA,13km7JNQUh5DRGV9QexgpI,25
62,Stone Bridge,ML Buch,Skinned,2020,Hmmm,5EjcaWgeTEKApENX6zqmSL,13km7JNQUh5DRGV9QexgpI,0
63,Summer,Kelora,Gloomerald,2023,Hmmm,6QUO9V7Buu6j23HfUkAtaM,13km7JNQUh5DRGV9QexgpI,20
64,Antidote,Orion Sun,A Collection of Fleeting Moments and Daydreams,2020,Hmmm,1NlGXcWeUSe1s3IgRKcqmB,13km7JNQUh5DRGV9QexgpI,60
65,La vita nuova,"Christine and the Queens, Caroline Polachek",La vita nuova,2020,Hmmm,36LC0XouPxisV5wz8I0fZ9,13km7JNQUh5DRGV9QexgpI,42
66,hello?,TURQUOISEDEATH,hello?,2022,chill cybercore  🩻💎💿  ,0iFY19PUAR7Tf4lUHPfoVE,5HM6ef3qfyK4mm6g7f3uDd,37
67,Faded Reverie,"hxly xo, dead fave",Faded Reverie,2024,chill cybercore  🩻💎💿  ,4yIni2QZ5jktqpiiYaNqVl,5HM6ef3qfyK4mm6g7f3uDd,18
68,it’s all,wiv,it’s all,2023,chill cybercore  🩻💎💿  ,6aucTiVQryHSqjs9nX356s,5HM6ef3qfyK4mm6g7f3uDd,23
