,track name,artists,album,release year,track id,popularity
84,apartment complex lovers,"TURQUOISEDEATH, 2 0 2 1",apartment complex lovers,2022,2Ub9pOiOeKLDRuFkQkSx3v,20
85,Aleph,"dreamstation, Nohidea","Dreamcore, Vol. 1",2023,5s9BqdP0WJZdTvIPRgpmd4,0
86,ominous,Blksmiith,ominous,2022,3c9mVzBIZYzLL1hh8rJlqo,0
87,b4 - TOKYOPILL Remix,"Heatace, TOKYOPILL",b4 (TOKYOPILL Remix),2022,4NUhP03UEsCp2L76QwZqjp,31
88,effervEsce,AKIBA,and then i woke up,2022,582QLzfQA32QA43fiezx2e,20
89,Gargoyle,"dreamstation, Downhill2k01","Dreamcore, Vol. 1",2023,2VIPWaQYHhaM9LokOrndCU,0
90,Subterranean Loner,Ftlframe,Overdrive Dreams,2022,1SwIVRPPKALdsLtRQKQKrE,38
91,why as soon as we become so close we have to say goodbye,snafu,why as soon as we become so close we have to say goodbye,2021,5qzGqhLV6fHbXpSdqqal6w,38
92,Ascent,JVNLIII,DEFCON,2022,4wdtRi4gmtm023tfXa7Xwp,7
93,Return to the nhk,Goreshit,mlsfaw,2020,6SXaZbw9FXs0CTkqMprE2U,17
94,yearning,Ftlframe,clouds,2022,3k5ppju3wLsy4NMnmuXlz4,28
95,Stimulate My Soul,bleach.bath,Dedication To The Cause,2023,2qeBa7Vk5huRME550RXuZM,0
96,//obsession//,Blksmiith,A MESSAGE FROM MY DIGITAL TWIN,2022,7gX1BZnSbtv0nhkKEJ1mYZ,0
97,60FPS - Star Trash Remix,"Blksmiith, Star Trash",A MESSAGE FROM MY DIGITAL TWIN,2022,7wH75q364bMPVIhl2veXc8,0
98,outer heaven,mindvacy,outer heaven,2022,2CvX3oiTKGzeg6Xs3PHGUj,37
99,Pulse,Antent,Pulse,2022,20C59ZiRbuRZIY2Xbup9Wl,59
100,exactly nothing,Rory in early 20s,exactly nothing,2022,0m6XaR2bZiQwgqTCN8nZcA,33
101,Shine or Die,Ftlframe,Overdrive Dreams,2022,687vTkzF12wEa474fT3DdB,44
